scale	type	name	value
europe	parameter	Abi_alb_fnstorage	0.05
europe	parameter	Abi_alb_leaflong	3
europe	parameter	Abi_alb_turnover_leaf	0.33
europe	parameter	Abi_alb_phengdd5ramp	0
europe	parameter	Abi_alb_tcmin_surv	-2
europe	parameter	Abi_alb_tcmin_est	-2
europe	parameter	Abi_alb_tcmax_est	2
europe	parameter	Abi_alb_twmin_est	6
europe	parameter	Abi_alb_gdd5min_est	1600
europe	parameter	Abi_alb_k_chilla	0
europe	parameter	Abi_alb_k_chillb	100
europe	parameter	Abi_alb_k_chillk	0.05
europe	parameter	Abi_alb_fireresist	0.1
europe	parameter	Abi_alb_intc	0.06
europe	parameter	Abi_alb_longevity	350
europe	parameter	Abi_alb_drought_tolerance	0.35
europe	parameter	Abi_alb_eps_iso	0.05
europe	parameter	Abi_alb_seas_iso	0
europe	parameter	Abi_alb_eps_mon	1.8
europe	parameter	Abi_alb_storfrac_mon	0.5
europe	parameter	BES_include	1
europe	parameter	BES_rootdist	0.8 0.2
europe	parameter	BES_crownarea_max	3
europe	parameter	BES_k_allom1	20
europe	parameter	BES_k_allom2	5
europe	parameter	BES_k_latosa	500
europe	parameter	BES_sla	9.3
europe	parameter	BES_gmin	0.3
europe	parameter	BES_leaflong	2
europe	parameter	BES_turnover_leaf	0.5
europe	parameter	BES_turnover_sap	0.05
europe	parameter	BES_phengdd5ramp	0
europe	parameter	BES_tcmin_surv	-1000
europe	parameter	BES_tcmin_est	-1000
europe	parameter	BES_tcmax_est	-1
europe	parameter	BES_twmin_est	-1000
europe	parameter	BES_gdd5min_est	200
europe	parameter	BES_longevity	50
europe	parameter	BES_k_chilla	0
europe	parameter	BES_k_chillb	100
europe	parameter	BES_k_chillk	0.05
europe	parameter	BES_fireresist	0.1
europe	parameter	BES_intc	0.06
europe	parameter	BES_drought_tolerance	0.25
europe	parameter	BES_eps_iso	2
europe	parameter	BES_seas_iso	0
europe	parameter	BES_eps_mon	4
europe	parameter	BES_storfrac_mon	0.5
europe	parameter	BES_ga	0.04
europe	parameter	Bet_pen_include	1
europe	parameter	Bet_pen_sla	24.3
europe	parameter	Bet_pen_gmin	0.5
europe	parameter	Bet_pen_fnstorage	0.15
europe	parameter	Bet_pen_phengdd5ramp	200
europe	parameter	Bet_pen_tcmin_surv	-30
europe	parameter	Bet_pen_tcmin_est	-30
europe	parameter	Bet_pen_tcmax_est	7
europe	parameter	Bet_pen_twmin_est	5
europe	parameter	Bet_pen_gdd5min_est	700
europe	parameter	Bet_pen_k_chilla	0
europe	parameter	Bet_pen_k_chillb	350
europe	parameter	Bet_pen_k_chillk	0.05
europe	parameter	Bet_pen_fireresist	0.1
europe	parameter	Bet_pen_intc	0.02
europe	parameter	Bet_pen_longevity	200
europe	parameter	Bet_pen_drought_tolerance	0.42
europe	parameter	Bet_pen_eps_iso	0.2
europe	parameter	Bet_pen_seas_iso	1
europe	parameter	Bet_pen_eps_mon	6
europe	parameter	Bet_pen_storfrac_mon	0
europe	parameter	Bet_pub_include	1
europe	parameter	Bet_pub_sla	24.3
europe	parameter	Bet_pub_gmin	0.5
europe	parameter	Bet_pub_fnstorage	0.15
europe	parameter	Bet_pub_phengdd5ramp	200
europe	parameter	Bet_pub_tcmin_surv	-30
europe	parameter	Bet_pub_tcmin_est	-30
europe	parameter	Bet_pub_tcmax_est	3
europe	parameter	Bet_pub_twmin_est	5
europe	parameter	Bet_pub_gdd5min_est	350
europe	parameter	Bet_pub_k_chilla	0
europe	parameter	Bet_pub_k_chillb	350
europe	parameter	Bet_pub_k_chillk	0.05
europe	parameter	Bet_pub_fireresist	0.1
europe	parameter	Bet_pub_intc	0.02
europe	parameter	Bet_pub_longevity	200
europe	parameter	Bet_pub_drought_tolerance	0.5
europe	parameter	Bet_pub_eps_iso	0
europe	parameter	Bet_pub_seas_iso	1
europe	parameter	Bet_pub_eps_mon	1
europe	parameter	Bet_pub_storfrac_mon	0
europe	parameter	Car_bet_include	1
europe	parameter	Car_bet_sla	24.3
europe	parameter	Car_bet_gmin	0.5
europe	parameter	Car_bet_fnstorage	0.15
europe	parameter	Car_bet_phengdd5ramp	200
europe	parameter	Car_bet_tcmin_surv	-8
europe	parameter	Car_bet_tcmin_est	-8
europe	parameter	Car_bet_tcmax_est	5
europe	parameter	Car_bet_twmin_est	5
europe	parameter	Car_bet_gdd5min_est	1200
europe	parameter	Car_bet_k_chilla	0
europe	parameter	Car_bet_k_chillb	600
europe	parameter	Car_bet_k_chillk	0.05
europe	parameter	Car_bet_fireresist	0.1
europe	parameter	Car_bet_intc	0.02
europe	parameter	Car_bet_longevity	350
europe	parameter	Car_bet_drought_tolerance	0.33
europe	parameter	Car_bet_eps_iso	0
europe	parameter	Car_bet_seas_iso	1
europe	parameter	Car_bet_eps_mon	0.08
europe	parameter	Car_bet_storfrac_mon	0
europe	parameter	Cor_ave_include	1
europe	parameter	Cor_ave_crownarea_max	15
europe	parameter	Cor_ave_k_latosa	4000
europe	parameter	Cor_ave_sla	12
europe	parameter	Cor_ave_gmin	0.5
europe	parameter	Cor_ave_fnstorage	0.15
europe	parameter	Cor_ave_phengdd5ramp	200
europe	parameter	Cor_ave_tcmin_surv	-11
europe	parameter	Cor_ave_tcmin_est	-11
europe	parameter	Cor_ave_tcmax_est	7
europe	parameter	Cor_ave_twmin_est	5
europe	parameter	Cor_ave_gdd5min_est	800
europe	parameter	Cor_ave_k_chilla	0
europe	parameter	Cor_ave_k_chillb	350
europe	parameter	Cor_ave_k_chillk	0.05
europe	parameter	Cor_ave_fireresist	0.1
europe	parameter	Cor_ave_intc	0.02
europe	parameter	Cor_ave_longevity	100
europe	parameter	Cor_ave_drought_tolerance	0.3
europe	parameter	Cor_ave_eps_iso	0
europe	parameter	Cor_ave_seas_iso	1
europe	parameter	Cor_ave_eps_mon	0
europe	parameter	Cor_ave_storfrac_mon	0
europe	parameter	Fag_syl_include	1
europe	parameter	Fag_syl_sla	24.3
europe	parameter	Fag_syl_gmin	0.5
europe	parameter	Fag_syl_fnstorage	0.15
europe	parameter	Fag_syl_phengdd5ramp	200
europe	parameter	Fag_syl_tcmin_surv	-3.5
europe	parameter	Fag_syl_tcmin_est	-3.5
europe	parameter	Fag_syl_tcmax_est	6
europe	parameter	Fag_syl_twmin_est	5
europe	parameter	Fag_syl_gdd5min_est	1500
europe	parameter	Fag_syl_k_chilla	0
europe	parameter	Fag_syl_k_chillb	600
europe	parameter	Fag_syl_k_chillk	0.05
europe	parameter	Fag_syl_fireresist	0.1
europe	parameter	Fag_syl_intc	0.02
europe	parameter	Fag_syl_longevity	500
europe	parameter	Fag_syl_drought_tolerance	0.3
europe	parameter	Fag_syl_eps_iso	0
europe	parameter	Fag_syl_seas_iso	1
europe	parameter	Fag_syl_eps_mon	10
europe	parameter	Fag_syl_storfrac_mon	0
europe	parameter	Fra_exc_include	1
europe	parameter	Fra_exc_sla	24.3
europe	parameter	Fra_exc_gmin	0.5
europe	parameter	Fra_exc_fnstorage	0.15
europe	parameter	Fra_exc_phengdd5ramp	200
europe	parameter	Fra_exc_tcmin_surv	-16
europe	parameter	Fra_exc_tcmin_est	-16
europe	parameter	Fra_exc_tcmax_est	6
europe	parameter	Fra_exc_twmin_est	5
europe	parameter	Fra_exc_gdd5min_est	1100
europe	parameter	Fra_exc_k_chilla	0
europe	parameter	Fra_exc_k_chillb	100
europe	parameter	Fra_exc_k_chillk	0.05
europe	parameter	Fra_exc_fireresist	0.1
europe	parameter	Fra_exc_intc	0.02
europe	parameter	Fra_exc_longevity	350
europe	parameter	Fra_exc_drought_tolerance	0.4
europe	parameter	Fra_exc_eps_iso	0
europe	parameter	Fra_exc_seas_iso	1
europe	parameter	Fra_exc_eps_mon	0
europe	parameter	Fra_exc_storfrac_mon	0
europe	parameter	Jun_oxy_include	1
europe	parameter	Jun_oxy_rootdist	0.5 0.5
europe	parameter	Jun_oxy_k_latosa	1500
europe	parameter	Jun_oxy_crownarea_max	10
europe	parameter	Jun_oxy_sla	10
europe	parameter	Jun_oxy_gmin	0.5
europe	parameter	Jun_oxy_fnstorage	0.05
europe	parameter	Jun_oxy_leaflong	1.5
europe	parameter	Jun_oxy_turnover_leaf	0.6667
europe	parameter	Jun_oxy_phengdd5ramp	0
europe	parameter	Jun_oxy_tcmin_surv	0
europe	parameter	Jun_oxy_tcmin_est	1
europe	parameter	Jun_oxy_tcmax_est	1000
europe	parameter	Jun_oxy_twmin_est	-1000
europe	parameter	Jun_oxy_gdd5min_est	2200
europe	parameter	Jun_oxy_k_chilla	0
europe	parameter	Jun_oxy_k_chillb	100
europe	parameter	Jun_oxy_k_chillk	0.05
europe	parameter	Jun_oxy_fireresist	0.4
europe	parameter	Jun_oxy_intc	0.02
europe	parameter	Jun_oxy_longevity	200
europe	parameter	Jun_oxy_drought_tolerance	0.01
europe	parameter	Jun_oxy_eps_iso	0
europe	parameter	Jun_oxy_seas_iso	0
europe	parameter	Jun_oxy_eps_mon	2
europe	parameter	Jun_oxy_storfrac_mon	0.5
europe	parameter	MRS_include	1
europe	parameter	MRS_rootdist	0.9 0.1
europe	parameter	MRS_k_latosa	1500
europe	parameter	MRS_sla	10
europe	parameter	MRS_gmin	0.5
europe	parameter	MRS_leaflong	0.5
europe	parameter	MRS_turnover_leaf	1
europe	parameter	MRS_phengdd5ramp	0
europe	parameter	MRS_tcmin_surv	0
europe	parameter	MRS_tcmin_est	1
europe	parameter	MRS_tcmax_est	1000
europe	parameter	MRS_twmin_est	-1000
europe	parameter	MRS_gdd5min_est	2200
europe	parameter	MRS_k_chilla	0
europe	parameter	MRS_k_chillb	100
europe	parameter	MRS_k_chillk	0.05
europe	parameter	MRS_fireresist	0.3
europe	parameter	MRS_intc	0.02
europe	parameter	MRS_longevity	100
europe	parameter	MRS_drought_tolerance	0.01
europe	parameter	MRS_eps_iso	2
europe	parameter	MRS_seas_iso	0
europe	parameter	MRS_eps_mon	4
europe	parameter	MRS_storfrac_mon	0.5
europe	parameter	MRS_ga	0.04
europe	parameter	Pic_abi_include	1
europe	parameter	Pic_abi_rootdist	0.8 0.2
europe	parameter	Pic_abi_sla	9.3
europe	parameter	Pic_abi_gmin	0.3
europe	parameter	Pic_abi_fnstorage	0.05
europe	parameter	Pic_abi_leaflong	3
europe	parameter	Pic_abi_turnover_leaf	0.33
europe	parameter	Pic_abi_phengdd5ramp	0
europe	parameter	Pic_abi_tcmin_surv	-30
europe	parameter	Pic_abi_tcmin_est	-30
europe	parameter	Pic_abi_tcmax_est	-1.5
europe	parameter	Pic_abi_twmin_est	5
europe	parameter	Pic_abi_gdd5min_est	600
europe	parameter	Pic_abi_k_chilla	0
europe	parameter	Pic_abi_k_chillb	100
europe	parameter	Pic_abi_k_chillk	0.05
europe	parameter	Pic_abi_fireresist	0.1
europe	parameter	Pic_abi_intc	0.06
europe	parameter	Pic_abi_longevity	500
